,BTC,ETH,USDT,BNB,SOL,USDC,XRP,DOGE,TON,ADA,SHIB,AVAX,TRX,DOT,BCH,LINK,NEAR,MATIC,LTC,ICP
2024-04-19,1257063743135.06,367361791165.13,109540756062.41,82974269405.48,63751797974.9,33903114124.77,27773312845.05,22495513726.99,21092574045.54,16700287924.65,13484139917.96,13124800200.09,9631804996.66,9599819353.11,9396150063.82,8199776124.49,5944747458.41,6665962944.09,6022936155.06,6505329105.54
2024-04-18,1250301972763.52,368135477475.74,109090139732.6,82541734086.52,63485357601.24,33091006374.65,27729001885.51,21943590297.77,22594581709.09,16320308495.54,13423879920.65,13173227895.42,9578468067.37,9738579331.98,9517921127.65,8156611266.44,6083296626.52,6692939294.32,6014493042.39,5910662943.95
2024-04-17,1206240184790.7,358378757749.83,108733311237.82,79912950223.45,58905554117.05,32578893522.33,27275540174.83,21244691163.09,21118245251.91,15825527944.67,13010248171.19,12678482103.1,9615120532.75,9441915972.46,9129942509.06,7711714320.66,5771280014.17,6610235739.88,5967165748.35,5487648258.51
2024-04-16,1256510316191.79,370408021051.68,108151712779.38,80423973838.05,60879101842.83,32602852372.38,27378001119.57,22449237290.64,22012660510.15,16333469942.8,13341922396.72,13138866102.22,9798804422.49,9612910929.6,9598280923.24,7918820230.87,5866001190.89,6957555265.09,5948876163.34,5665811619.55
2024-04-15,1248326445647.25,372352323185.11,107760357386.52,82673531334.2,61857236412.61,32420066998.57,27434770194.95,23221167847.79,22769210062.5,16411336589.82,12914324248.78,13286122238.07,9773736491.76,9627295973.16,10001882010.88,7974542312.27,5569802925.91,7003006449.23,5810668595.35,5713711172.79
2024-04-14,1293922154520.65,379048988304.69,107793416399.18,84818478828.9,67565919330.09,32348682412.93,27794218119.42,23350770292.63,23471360006.06,16700486813.2,13394424974.12,14102314943.28,9867673415.21,9849510928.06,10395152319.52,8289737717.06,6093518583.9,7041457245.07,5947568803.57,5966262456.72
2024-04-13,1256414309701.84,360877472068.23,107497350841.72,82886087552.47,62209618029.83,32253243127.32,26502684973.33,22036954856.81,20646437247.13,15951642727.97,12476849558.98,12878566616.47,9667556709.48,9199770796.9,9480906048.81,7835333634.89,5578409990.03,6477005660.71,5774770201.89,5721654222.69
2024-04-12,1322318848762.9,389383039545.48,107354094570.95,89176723167.54,68514901386.09,31935616298.9,30228432510.71,25119805458.52,23088562414.33,17932457809.46,14622606165.1,14896614422.3,10069446378.4,10377134640.64,10529703913.75,8898790943.1,6147841875.88,7579897359.53,6419405517.05,6453841757.78
2024-04-11,1378806199022.17,420886866941.55,107326815080.98,90452362549.75,76942708222.38,32220562979.21,33519796796.49,27907905521.44,25170046240.94,20872139157.59,16221696338.64,17405817371.95,10554246126.2,12005391840.03,12096009981.14,10303616802.67,7216068460.31,8697578924.6,7343596428.82,7178016993.68
2024-04-10,1388869502130.74,425462971354.56,107190087854.81,91228324889.41,77297959814.53,32136092858.89,33997592690.69,28764441378.01,23504615049.3,20874385528.96,16529357884.67,17879666047.71,10450033362.56,12058214509.89,12394087626.03,10230437120.29,7410691032.95,8785859157.64,7195293080.02,7378889764.28
2024-04-09,1360554169765.49,420865715374.07,107025431320.7,86853573428.02,76842591474.79,32293564267.65,33792048849.68,27182073552.81,23232036900.48,21075226156.19,16185672376.5,17561661567.09,10614935837.23,12400199018.62,13242929705.97,10193662392.45,7648403834.37,8887482112.11,7254284327.04,7426035400.08
2024-04-08,1409529731787.86,443701699932.46,107042435278.03,87762158572.07,80549867853.55,32617140080.75,33883696854.84,29140900781.44,22012836355.88,21868038542.73,16929056131.68,18850572584.38,10785605702.42,12947466022.33,13402549036.73,10626860308.3,7805757699.96,9369036684.68,7686410486.57,8223513391.14
2024-04-07,1364795785582.02,414660162811.1,106892900921.35,87343737468.08,80048604596.75,32937732237.34,32746598127.04,28630071762.69,18637549799.82,20985700840.0,16615244404.5,18662652455.21,10569871350.8,12460056689.44,13484868378.34,10522083648.91,7329154441.05,9026672900.35,7527182093.29,7920622607.63
2024-04-06,1355566990096.02,402735310353.76,106838499488.79,87622624374.73,79602083518.2,32925911206.39,32664351210.18,26735635338.31,19016073684.34,20802283532.42,16189904024.12,18212314790.4,10492250531.65,12152256880.43,13686443494.24,10317827603.66,7440384313.07,8888345947.53,7550922586.63,7875734895.84
2024-04-05,1334713625915.92,399769846956.52,106633571079.41,86575956503.08,77639578798.39,32919343282.91,32344047477.29,25521528630.94,18531466017.07,20462735443.13,15812560080.75,17148234103.71,10344851460.79,11999114075.11,12951603428.66,10184715466.02,7654497803.21,8762466391.25,7293415717.15,7796289185.8
2024-04-04,1347932221575.71,399909422386.95,106189312753.77,87550438558.01,81848676449.44,33021516119.97,32681688461.98,25864876022.38,17670015745.75,20751612270.68,16305885715.82,17570316730.71,10451912789.96,12141207146.14,13161155702.87,10446800769.91,7090891056.56,8966186275.46,7320238346.6,8231753677.07
2024-04-03,1297904385609.21,397608893144.01,105307423190.48,84041883915.81,82401380826.41,32918882204.99,31585963980.4,25233002605.47,17223705027.06,20335916203.55,15535550667.64,17354134051.23,10284784146.11,12056170314.56,11706786687.78,10395558317.74,6966646844.76,8868137794.68,7332098141.59,8246856947.81
2024-04-02,1287439112104.0,393510716982.21,104682659774.24,82346495656.47,80589823339.92,32836983601.29,32166626108.88,26201740917.45,16845913727.92,20678264403.01,15545340029.71,17670902515.71,10235047811.31,12260184558.76,12582692029.43,10546111176.43,6551959091.6,8910783232.61,7945134254.13,8259243259.07
2024-04-01,1371141394063.27,420826425525.22,104492091510.57,86191921653.29,85635905165.52,32688138285.76,33583982916.94,29543014239.07,18541390823.19,22124483840.1,16894971175.22,19418218479.75,10578641788.75,13088767349.77,12777156043.46,10791044876.98,7106414924.05,9419851214.44,7391133698.21,8347897968.1
2024-03-31,1403108244335.61,437995776899.17,104508939120.11,90754649517.27,90192360865.17,32419596997.18,34571158666.17,31623141219.06,18791752197.01,23147368977.08,18117757542.72,20422195555.8,10790233535.21,13773238201.91,13393583642.07,11235767794.09,7697568435.51,9940258872.11,7822756094.96,8666398560.92
2024-03-30,1369892136469.29,421201618786.64,104553630162.92,89871934048.39,86381585799.89,32461440814.05,34165159478.85,28652694244.77,18244778890.19,22931580978.0,17597376638.22,20003992981.36,10756642375.92,13470870727.55,11753575672.28,11121452631.16,7312370080.94,9713655454.19,7650079352.94,8260958843.0
2024-03-29,1374656364302.31,421667718721.24,104556730421.9,91614871101.83,85426393569.72,32410877900.18,34655083858.33,30672584774.61,17424303563.58,23645517043.42,18149860437.24,20156397167.66,10527852744.49,13699780790.51,12238588622.18,11150995587.02,7349799111.3,9821913859.57,8123976956.97,7943595439.2
2024-03-28,1391336144443.54,427577249073.79,104468468705.97,87222598971.79,84246500601.21,32396256884.81,34279071179.35,31612840439.0,17014135543.74,23156885038.15,18862236806.52,20615201760.65,10565093325.71,13582254631.3,11202122522.91,11248994938.39,7577939746.65,9926995098.46,7006284960.2,8297570549.2
2024-03-27,1365860349594.74,420282205190.63,104322608777.91,85901838832.74,82799408956.75,32104141995.83,33586360332.68,27338106092.41,17228053450.02,23070621248.09,17780392731.98,20422770208.52,10485774887.57,13474534635.5,10623708579.51,11332117903.62,7651248971.28,9994298961.77,6965525608.31,8484722283.23
2024-03-26,1376403313500.46,430743153736.45,104229649715.52,86755120255.54,84728545592.52,32304149817.44,34700718160.72,26210640868.13,17484408641.96,23660738302.53,18072844592.44,21066668978.38,10600309896.88,13822645920.96,9448383543.11,11748272904.97,8069406103.68,10361029722.79,7127992708.46,8787513917.46
2024-03-25,1375150091236.61,431196903141.81,104031149577.47,87842116639.36,83987620158.75,32256544261.02,35182647987.19,25185770042.57,18620601511.57,23373440915.3,16911149510.02,21823204925.4,10574274186.8,13886062801.11,9604213615.7,11366086237.44,7861249264.86,10356563146.04,6745411923.42,8136367594.11
2024-03-24,1322058484488.52,414841195862.23,104012399837.15,84936338670.94,81539943651.14,32025535920.69,34739163804.9,25339477246.6,17237192076.86,22989329271.54,16534057298.79,21008624238.29,10550435150.49,13360484229.31,9539015359.86,10880529970.15,7354544902.82,10016554763.04,6668241699.91,6980944428.62
2024-03-23,1259788729090.63,400644940935.81,104055790060.46,82526582758.01,76777960668.96,32041683481.24,33896958205.48,23228466903.74,16725159469.19,22263663132.29,16016280016.62,20158706461.75,10388107874.91,12804985420.52,8988872881.59,10610203804.96,6980884344.45,9713998137.4,6350653733.58,6215209359.05
2024-03-22,1254457600697.83,400516287116.27,104075363235.2,82511566073.35,77430916620.27,31991906024.78,33531418924.42,21924689359.68,15411145875.39,21814922972.2,15610551562.62,20103871376.7,10291935919.26,12712029594.52,8490912144.5,10739920963.16,6824025867.96,9610967383.53,6193341124.65,6157646202.78
2024-03-21,1287574561970.88,419407322334.27,103883274609.01,82731435226.79,79575489104.09,31849831660.45,35164062437.38,22295509992.27,14103627763.42,22475407752.6,16026735325.81,20329724548.32,10635257196.98,13069912338.72,8153894565.55,10821924731.55,6790185286.03,9855172223.09,6370907249.9,5875091335.41
2024-03-20,1335131959554.81,421947979245.64,103800169439.41,83247770954.05,85046806349.53,31407351270.66,33598401857.45,21846400330.95,14678295871.73,22746229773.71,16361700740.97,21524060178.92,10618406822.22,13520744867.45,8065956061.91,10806445419.36,7271348957.36,9996865217.89,6302562912.82,5496806243.43
2024-03-19,1217479093665.71,379252163859.28,103583677221.52,75828697524.84,75466865630.06,31238202358.85,32027461422.6,18477213578.57,13168854452.96,20874957839.52,14640356537.95,20195919571.85,9869554480.79,12481685577.51,7067324851.34,9868736914.74,6695509240.59,9233411638.81,5841221900.94,5039970931.29
2024-03-18,1328015048454.29,422635979695.19,103395155607.8,82927524048.67,86998068120.46,31188224864.42,35486745523.58,20620412205.98,13283179542.72,23516860824.82,15830679946.99,22898995625.02,10899451034.59,14104149930.11,7899833515.27,10758227608.91,7395114268.28,10208285707.57,6474670630.3,5704504574.57
2024-03-17,1343978205472.65,437365362293.23,103359725665.02,85399260047.54,89697345896.0,30843460800.87,33934018894.2,22147566191.17,13417602867.84,24220040381.99,17396468939.28,21926698285.71,11085187152.72,13059167146.92,7920823321.21,10963797191.39,8674205994.76,10786191863.02,6381020328.42,5829919443.83
2024-03-16,1283870289169.9,423047432765.48,103241576627.99,86250197748.72,80716457995.81,30898219785.76,33047819976.25,20428769509.19,12228352805.32,23453242008.88,14923949405.71,20186076484.76,10998410589.4,12514730315.72,7645560933.51,10641943962.77,7084182651.87,10336628051.92,6253005089.0,5640999168.63
2024-03-15,1363928841106.55,448641609936.25,103279566893.66,94628618830.8,81165758924.9,30725047621.55,34728625301.22,23420875764.14,13458255436.46,25832684497.22,17597906693.65,22068890361.68,11101838228.26,13983882788.91,8188453249.23,11510530077.57,7868551421.42,11299845879.94,6666892214.02,5917395697.28
2024-03-14,1403092953865.88,466276052158.82,103088609478.74,90167259493.46,78373508249.59,30605285032.03,36713997873.02,25441252306.59,13977060801.81,26685363001.34,19012867751.3,20397205977.51,11343813733.7,14888480622.42,8678355981.3,12274131630.41,9271213900.03,12104954620.79,6994172065.6,6416653123.7
2024-03-13,1436271822605.71,481048430653.87,102713107725.2,94293752180.11,72668118573.65,30771065023.35,37820664946.63,24266652385.77,14987301112.49,27183555116.57,18860543249.33,20732178658.05,11598155981.94,14599512466.73,8703350568.07,12193427078.96,8094634433.92,12595214383.77,7231821814.73,6674037684.47
2024-03-12,1404810311680.06,478003888346.22,102450058565.12,80432237931.57,66980515085.21,30340213161.5,37670513815.92,24120097077.61,14160335633.05,26593974866.03,18994534483.07,20975245194.98,11551818177.58,13828609391.61,8540907524.37,12132851637.1,8373583917.03,11697707843.03,7247420927.22,6761615021.28
2024-03-11,1417380747795.66,488401773064.44,102045515915.21,78167177140.56,65976301021.0,30430502760.76,39302994839.04,26100052653.04,11403399388.55,27523072185.73,20008988325.19,18490652215.27,11755305187.67,14222178325.98,8824789842.61,12499571766.23,6976399634.56,12312241988.68,7711851497.65,6894346800.04
2024-03-10,1356284493147.36,466138296994.82,101919864540.25,79173618236.46,64055231607.5,30141803644.56,33302773671.38,24367183741.61,9785226852.8,25457988581.45,19337774077.52,15866457602.55,11767608822.38,13241953798.38,8337467706.19,12771502038.44,6216937312.24,12183569140.98,6501520264.7,6515353564.16
2024-03-09,1346014614977.61,470282726399.39,101813227168.48,73206068368.15,64096767397.98,30006020247.94,34035656352.86,25680719241.11,9980629143.11,26399312555.37,20652178518.97,16223985624.35,11961889338.57,13606224653.05,8527287731.52,11758750883.53,6482621160.28,11469345277.34,6749310827.17,6796884742.1
2024-03-08,1341992893970.51,467479204410.04,101266308606.18,72989638279.84,64360205716.59,29943216493.65,34043810479.01,23708685972.51,9852205056.28,25727153550.91,20816339848.78,16125777940.78,12038700567.51,13731357480.62,8607897143.63,11590165998.5,6006628154.11,11165037213.56,6584351357.84,6750660443.53
2024-03-07,1315182056071.44,465421528099.82,100876730318.1,71073396182.86,63801239283.41,29281832739.51,34362264618.86,22670484867.32,9555959568.01,26430211955.51,18584079749.56,16333445340.49,12072658407.77,13414166477.51,8501947334.36,11816478199.91,5781759924.26,11496431583.61,6545111046.38,6880326312.48
2024-03-06,1298635184349.89,458654737259.72,100518067966.64,64154879375.96,57850874885.99,29192577569.44,33468901812.16,22621032276.32,9304358951.78,26043634184.93,19639066135.98,15661975225.75,12112690742.51,13583380967.42,8161949143.84,11786599139.98,6118799518.63,11058908013.39,6375572721.19,7059954611.43
2024-03-05,1252930339355.95,426939973586.42,100157565053.56,59018677495.36,55614018119.17,28831327170.91,32409234192.12,22064706332.69,8989446078.66,24611449733.4,20957371345.33,14902116301.61,11966120391.79,12050482945.36,7893536612.4,11161984128.91,4435333387.6,10236842678.5,6093662616.37,6467860853.38
2024-03-04,1342332633739.21,436135402402.68,99643746338.51,62663182686.62,58914150625.05,28880133301.46,35538892483.59,26217050763.06,9497421565.67,27370990340.94,21152452518.49,16255332524.08,12349039742.89,12744974041.26,9248354631.83,12005464793.31,4528335507.34,11356951683.58,6605601739.99,6154521828.74
2024-03-03,1240856664934.87,419394728670.73,99490448901.37,61967269448.06,57782564591.67,29001243814.25,34278278017.26,22047638692.57,9281884382.97,25840431494.92,13265959753.72,16072632301.89,12374304467.05,12890702392.05,9227255756.9,12043192028.15,4634865069.79,10782542134.82,6734012595.72,6057176039.86
2024-03-02,1218449164616.58,411121225380.6,99239412393.37,61459623668.31,57434332381.15,29015846479.11,35250165206.11,20366807654.67,9437586202.2,26287950813.16,13329421400.3,16724729060.2,12427288957.71,12175894388.17,9844889420.33,12576620273.53,4688222505.04,10834335058.08,7012219555.31,6108030912.93
2024-03-01,1226468270480.94,412694537324.83,98865057679.77,60984893352.23,57563108314.36,28987779824.68,32901725094.48,19997441145.6,9394292533.25,25512830560.07,9939773598.52,16166746505.37,12456638435.18,11188700134.67,6213830626.67,11777758023.55,4135372448.3,10147336560.58,6318658057.91,5963980785.34
2024-02-29,1202008882583.53,401521910329.79,98748122584.15,59783843986.18,55633849061.16,28536339496.47,32009956698.44,16790060913.41,8606479094.23,23262204982.32,7401350902.06,15441711315.45,12367538457.13,10645584551.72,5868336961.2,11323816771.59,4039735280.18,9911360928.81,5936422993.4,5796355379.64
2024-02-28,1227615937615.29,406795707755.71,98495349731.9,62175548203.85,52249842439.92,28646808635.94,31435953067.75,16702090145.39,8711743366.29,22388524323.91,6920470301.51,15199484713.45,12514576272.37,10716382727.47,5833342894.24,11408400683.79,4054780438.12,9729060439.7,5538994641.14,5804397746.54
2024-02-27,1121125657664.09,389840801982.15,98098307198.0,59068743684.28,47942351648.22,28520330431.08,32006322373.81,13991555197.6,7484477836.18,22143426646.68,6426910165.33,14811557014.9,12573040264.39,10749196386.04,5749102957.14,11176285553.58,4123766246.53,9893311172.94,5497230749.63,5984510003.64
